Target_ID,Prot,e_Prot,Good,EB?,flare_rate,age,Teff,Bp-Rp,mass,e_mass,Vmag,e_Vmag,Jmag,e_Jmag,Kmag,e_Kmag
46633507.0,0.38893287865315096,0.03920447172055165,0.0,,0.3659710939412275,127.4,3334.0,2.6881999999999984,0.542848,0.0438297,16.13,0.2,12.158,0.021,11.306,0.023
46633710.0,7.251088198316171,0.85849403338614,0.0,,0.22510306628635027,127.4,3233.0,2.8953000000000007,0.358912,0.0206785,16.997,1.133,12.96,0.022,12.122,0.021
46634442.0,2.792705991711304,0.7080212893754989,0.0,,0.11929412213223996,127.4,3430.0,2.5046000000000017,0.470501,0.0204367,16.07,0.2,12.31,0.024,11.439,0.018
46634692.0,3.242061866429775,0.8261646487455113,0.0,,0.09777951663078079,127.4,3092.0,3.1964000000000006,0.269741,0.021359,19.03,0.2,13.875,0.024,13.022,0.03
466484360.0,6.124284862884186,0.7167305016988558,0.0,,0.7120361046273579,16.0,7750.0,0.3811099999999996,1.83,0.295702,8.295,0.003,7.694,0.026,7.558,0.018
46674761.0,11.337268877096523,0.2312090632638491,0.0,,0.16236509609428945,127.4,3121.0,3.132199999999999,0.349394,0.0211133,nan,nan,13.123,0.024,12.281,0.021
46675498.0,13.950216663202443,0.8288317558740669,0.0,,0.0645407437713391,127.4,3046.0,3.2993000000000023,0.177479,0.021252,nan,nan,14.417,0.033,13.531,0.039
46678194.0,0.3246750870392963,0.00048617378161125343,0.0,,0.4159528108751796,127.4,3659.0,2.1393000000000004,0.572954,0.0203537,15.083,0.042,11.74,0.024,10.842,0.02
46678280.0,15.959051102994522,3.8660682721735165,0.0,,0.04826214648941215,127.4,3175.0,3.0165000000000006,0.271481,0.0206908,17.98,0.2,13.576,0.024,12.712,0.024
46678608.0,16.109801546421906,4.0701425145608505,0.0,,0.0251713047126276,127.4,3127.0,3.1194000000000006,0.263735,0.0215365,18.89,0.2,13.985,0.026,13.094,0.028
281494100.0,1.15409332946847,0.00286409468403546,0.0,1.0,0.07534372465372018,33.7,6427.0,0.7205000000000013,1.3,0.205287,10.857,0.008,9.759,0.022,9.401,0.019
238373563.0,6.62837645181544,2.7053647333949,0.0,,0.13839417275327795,33.7,4618.0,1.4745000000000008,0.73,0.082981,13.703,0.08,11.581,0.027,10.864,0.021
219161614.0,8.7706164425706,2.28074109394066,0.0,,0.0,33.7,3446.0,2.474,0.518226,0.0207536,16.9101,0.0467,13.114,0.024,12.261,0.029
173177973.0,6.2843856988982,1.61670357244079,0.0,,0.1831654115378788,133.0,3446.0,2.4750000000000014,0.398779,0.0202366,14.131,0.103,10.234,0.023,9.354,0.019
92841571.0,4.56433573518197,1.97681206014768,0.0,,0.15276539761931,133.0,2823.0,4.272399999999999,0.192187,0.0201415,nan,nan,11.026,0.024,10.038,0.023
