distance_arcmin,objID,survey,ra,dec,band,fov_radius,IAUName,nuv_exptime,fuv_exptime,fuv_mag,fuv_magerr,nuv_mag,nuv_magerr,fuv_flux,fuv_fluxerr,nuv_flux,nuv_fluxerr,e_bv,ra_cent,dec_cent,xCenter,yCenter,SSAPFitsFile,nuv_flux_auto,nuv_flux_aper_7,nuv_artifact,fuv_flux_auto,fuv_flux_aper_7,fuv_artifact,TIC,distance_arcsec,Jmag,flare_rate,J_flux_density,nuv_flux_density,fuv_flux_density,R0,age,teff,mass,distance_pc
0.007218173756060308,6385411783360774900,AIS,98.31365735452923,-51.22109301206364,1,0.5115835,GALEX J063315.2-511315,142.0,142.0,0.0,0.0,16.5100231,0.0203059986,0.0,0.0,903.629944,16.89605,0.035179846,98.92866,-50.88603,1839.144,2033.304,0.0,26.79113,27.1505566,17,0.0,0.0,0,255640745.0,0.43309042536361847,9.798,0.009420656004742761,191994.29189456423,903.6302479834009,3630780547.7010026,0.3126256553536746,195.0,5672.0,1.01,149.877
0.0037871086493709632,6385411782287036073,AIS,99.02579868758619,-49.72653056866443,1,0.2824267,GALEX J063606.1-494335,112.0,112.0,0.0,0.0,16.14242,0.0205276459,0.0,0.0,1267.744,23.9629841,0.0467020869,99.03997,-50.00881,1970.588,1919.79,0.0,37.58651,38.1679878,0,0.0,0.0,0,255704443.0,0.2272265189622578,9.674,0.038901972896293026,215222.81976856102,1267.7452733403206,3630780547.7010026,0.4181945407888591,195.0,5717.0,1.02,152.898
0.029922430566799968,6385411782287036228,AIS,99.04161896134401,-49.70364693365014,1,0.305164337,GALEX J063609.9-494213,112.0,112.0,0.0,0.0,21.7194443,0.39264217,0.0,0.0,7.451119,2.69394445,0.0467020869,99.03997,-50.00881,1970.588,1919.79,0.0,0.220913321,-0.0234575272,0,0.0,0.0,0,255704455.0,1.795345834007998,10.894,0.0,69966.20481423395,7.451132391540276,3630780547.7010026,0.22256145739547722,195.0,4074.0,0.64,152.294
0.05402230132689256,6385411781215389181,AIS,99.04515987256204,-49.21121758182976,3,0.209645733,GALEX J063610.8-491240,112.0,112.0,21.4963169,0.380838364,21.3555031,0.348561525,9.151142,3.2091217,10.4183435,3.343862,0.0507537462,99.26121,-49.0564,1923.075,1980.312,0.0,0.308886647,0.2890204,0,0.0850106552,-0.0131282043,0,255741185.0,3.241338079613554,11.749,0.0,31833.787804489253,10.418345603305074,9.1510987105707,0.07304756891166347,195.0,3666.0,0.528506,119.216
0.7277188642764816,6385411780139551279,AIS,99.12947228302184,-48.10622070782974,1,0.227968857,GALEX J063631.0-480622,158.0,0.0,0.0,0.0,22.37786,0.637366056,0.0,0.0,4.06308556,2.3845973,0.103463329,99.46855,-48.13326,1957.795,1911.399,0.0,0.120463736,0.0803304,0,0.0,0.0,0,255741939.0,43.6631318565889,13.352,0.09375265087553197,7272.576814604998,4.063085861744387,3630780547.7010026,0.007456150738330844,33.7,3186.0,0.370186,166.585
0.6371654502586778,6385411783360777499,AIS,99.56663386673667,-50.70142384872059,1,0.443511754,GALEX J063815.9-504205,142.0,142.0,0.0,0.0,22.3541374,0.462170124,0.0,0.0,4.152835,1.76732612,0.0538618937,98.92866,-50.88603,1839.144,2033.304,0.0,0.123124667,0.000433641777,17,0.0,0.0,0,255757760.0,38.229927015520666,13.318,0.0,7503.92210310995,4.152838479607479,3630780547.7010026,0.008351060698003666,33.7,3016.0,0.376621,160.069
0.0021605941831130105,6385411795171938207,AIS,99.68651532281442,-51.16361397095548,1,0.565988362,GALEX J063844.7-510949,112.0,112.0,0.0,0.0,16.7579079,0.0279288441,0.0,0.0,719.177856,18.4952183,0.0506702177,100.30507,-51.57742,1839.369,1900.858,0.0,21.3224316,21.65326,17,0.0,0.0,0,255779146.0,0.12963565098678062,10.442,0.0,106093.3876609363,719.178739138886,3630780547.7010026,0.03539669289831227,33.7,5823.0,1.05,192.846
0.033483657091581846,3983612128997149944,MIS,99.97477436598379,-48.64246036821681,1,0.5121459,GALEX J063953.9-483832,281.0,0.0,0.0,0.0,21.5057659,0.321798027,0.0,0.0,9.071794,2.688108,0.06334151,100.7119,-48.80317,1961.209,1934.83,0.0,0.268963635,0.0379274376,17,0.0,0.0,0,255781884.0,2.0090194254949107,11.086,0.09323607823223068,58625.73722532836,9.0718036126836,3630780547.7010026,0.29693124503940665,195.0,4065.0,0.64,118.008
0.010503468116520134,6387593173628093672,AIS,267.1441532904356,-79.31466579201499,1,0.2376519,GALEX J174834.6-791852,194.15,194.15,0.0,0.0,21.8401985,0.3427489,0.0,0.0,6.66684,2.10409975,0.167556539,266.52812,-79.10686,1984.439,2014.173,0.0,0.197660759,0.09645303,0,0.0,0.0,0,256162745.0,0.630208086991208,12.2,0.27692873808388196,21013.012412589134,6.666848712384354,3630780547.7010026,0.010178848919977173,5.0,3355.0,0.551658,159.17
6.6050000539107865,6387558025763228171,AIS,199.3036466667691,-54.89113440726207,1,0.6135775,GALEX J131712.8-545328,201.05,0.0,0.0,0.0,19.9568,0.320676863,0.0,0.0,37.7814865,11.1562138,0.389401257,198.23888,-54.93448,1894.103,1955.407,0.0,1.12015843,1.011728,49,0.0,0.0,0,256168939.0,396.3000032346472,11.342,0.038698234393055815,46311.44340999214,37.78156992023133,3630780547.7010026,0.03874266629547135,15.0,3191.0,0.458296,83.3728
