ID,ra,dec,pmRA,pmDEC,Tmag,objType,typeSrc,version,e_pmRA,e_pmDEC,plx,e_plx,Vmag,e_Vmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,contratio,duplicate_id,gaiabp,e_gaiabp,gaiarp,e_gaiarp,e_RA,e_Dec,dstArcSec,moca_aid,moca_mtid,designation,age,eage,sep,n_sectors
248655215,67.3401511962641,-2.82970365010518,-13.8349,-12.1346,9.40543,STAR,tmgaia2,20190415,0.0987971,0.0581104,7.11031,0.0540058,9.753,0.006,8.941,0.026,8.762,0.063,8.657,0.027,6291.71,108.914,4.41527,0.0792693,0.014,0.012,1.13994,0.0493769,1.233,0.180385,0.832376,0.173882,DWARF,1.8345592,0.07359895,140.083,1.068,0.010453,0.00585362455,,10.0387,0.001204,9.36578,0.0018,1.53255101678903,0.901254160532752,0.0,PERI,HM,BD-03 792,120.0,0.0,8.177050539235105e-05,1.0
248942618,19.9512099766008,-0.509007862001875,13.8,-15.9,5.5288,STAR,tmgaia2,20190415,1.2,1.2,9.93,1.03,5.88271,0.023,4.765,0.224,4.167,0.22,4.126,0.036,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,GIANT,nan,nan,100.705,18.7154,nan,nan,,6.48492,0.074579,5.32871,0.006632,18.6004504361832,18.6000954799296,0.0,PERI,HM,42 Cet A,120.0,0.0,9.266114165597746e-05,4.0
248952247,21.102725807211,-3.27744125579611,12.3599,-10.2206,11.1714,STAR,tmgaia2,20190415,0.0959694,0.0645809,8.34517,0.0580505,12.089,0.08,10.314,0.026,9.793,0.022,9.702,0.023,4785.0,126.753,4.61261,0.092236,nan,nan,0.718682,0.0502462,0.772,0.0901942,2.07973,0.578264,DWARF,0.243946984,0.00963626,119.424,0.834,0.0102502,1.3733694e-06,,12.3422,0.004614,11.1198,0.002902,1.488966817553,1.00151484660662,0.0,PERI,HM,UCAC2 30625698,120.0,0.0,7.132948649155348e-05,2.0
249899744,38.4929883808612,48.3673620737265,31.6273,-22.6016,14.2967,STAR,tmgaia2,20190415,0.116859,0.0995837,6.87494,0.0554914,16.594,0.126,12.733,0.023,12.059,0.021,11.854,0.026,3417.0,157.0,4.79318,0.0060343,nan,nan,0.436936,0.0134631,0.432464,0.0206345,5.18438,0.231972,DWARF,0.0234482419,0.00578598725,144.862,1.173,0.0334133,0.0772074461,,16.8841,0.011806,14.3552,0.006248,1.9860751417293,1.54411946628885,0.0,SAPER,HM,Gaia DR2 450365430234579072,79.0,1.9,0.00017273805781433107,1.0
249925739,38.9031527925977,52.4106667922969,24.8406,-18.9902,11.2785,STAR,tmgaia2,20190415,0.071106,0.0709421,5.38754,0.0380376,12.031,0.046,10.436,0.021,9.993,0.015,9.888,0.02,5640.92,108.37,4.69731,0.0831533,0.217,0.024,0.741959,0.046402,1.0,0.125007,2.44828,0.543054,DWARF,0.502173841,0.0405613,184.636,1.3065,0.0320049,0.0393747,,12.3446,0.007506,11.2182,0.005175,1.22879104319495,1.09998613707652,0.0,SAPER,HM,Gaia DR2 452203568860985856,79.0,1.9,0.0001389326028251924,1.0
250091359,221.584109116541,-50.9291298574671,-32.5016,-36.4482,10.4144,STAR,tmgaia2,20190415,0.685098,0.497479,10.772,0.244697,11.624,0.023,9.025,0.027,8.381,0.024,8.267,0.025,4025.0,124.039,4.08435,0.117509,nan,nan,1.19269,0.12304,0.63,0.0763004,0.371324,0.130562,DWARF,0.336369365,0.0319613,92.6762,2.1195,0.0,0.07831275,,12.0474,0.004435,10.3204,0.003081,11.7642146980141,7.71364001720535,0.0,UCL,CM,TYC 8291-1530-1,16.0,2.0,0.00021730155777147228,2.0
250102170,355.025412207541,-4.0487088361689,24.4853,-8.21339,9.33501,STAR,tmgaia2,20190415,0.0930534,0.0497623,8.48449,0.0437529,10.053,0.006,8.8,0.029,8.516,0.042,8.403,0.021,6012.0,126.199,4.42733,0.0781188,nan,nan,1.06715,0.0495276,1.111,0.144618,0.914194,0.196452,DWARF,1.34035885,0.04754575,117.466,0.608,0.0148095,0.000850102166,,10.0548,0.002702,9.2875,0.001825,1.44377076166822,0.771790731107415,0.0,PERI,HM,BD-04 5927,120.0,0.0,0.00011475436151296052,1.0
250123846,221.88239895682,-48.0015701762453,-25.4999,-20.0264,9.9967,STAR,tmgaia2,20190415,0.13258,0.102926,7.98339,0.0528459,10.719,0.007,9.417,0.023,9.042,0.024,8.978,0.025,5726.0,137.851,4.51707,0.0772028,nan,nan,0.922141,0.0480553,1.02,0.131175,1.30079,0.281806,DWARF,0.8235587,0.0298236,124.817,0.8295,0.029069,0.140885666,,10.8201,0.007285,9.94583,0.005465,2.24976517920645,1.59593099918601,0.0,UCL,BF,CD-47 9419,16.0,2.0,0.00014414650051259372,2.0
250133028,63.1963813716772,-4.0094128026676,-11.0184,-11.1355,8.91944,STAR,tmgaia2,20190415,0.0523787,0.0323047,7.02065,0.0396818,9.293,0.003,8.528,0.023,8.346,0.044,8.316,0.025,6699.0,130.299,4.34988,0.0871279,nan,nan,1.31944,0.0533367,1.421,0.242289,0.618624,0.144283,DWARF,3.15873313,0.14031,141.858,0.8045,0.0197769,0.000371577422,,9.45121,0.000836,8.87778,0.001336,0.812811288838877,0.501048231768945,0.0,PERI,HM,BD-04 768,120.0,0.0,6.960753789230581e-05,2.0
250328442,340.820334750019,-3.05179187491744,25.8762,-12.2119,10.3219,STAR,tmgaia2,20190415,0.0809634,0.0804162,6.86395,0.0609217,11.031,0.013,9.701,0.03,9.432,0.026,9.276,0.019,5735.48,103.442,4.52553,0.0674748,0.032,0.011,0.914995,0.0400477,1.024,0.124528,1.33673,0.249595,DWARF,0.816228151,0.03313035,145.095,1.2925,0.023701,0.00444146944,,11.1406,0.003662,10.2728,0.001408,1.25637631872281,1.24732228413082,0.0,PERI,HM,TYC 5237-558-1,120.0,0.0,0.0001272180369871304,1.0
250348940,341.180412584832,-2.8929497213559,22.3802,-9.80704,10.5965,STAR,tmgaia2,20190415,0.0647846,0.0555949,7.37226,0.0402302,11.268,0.017,9.863,0.026,9.524,0.024,9.429,0.019,5419.0,132.089,4.57427,0.0840318,nan,nan,0.830142,0.0458292,0.943,0.120103,1.64837,0.389688,DWARF,0.535397351,0.0173787,135.119,0.74,0.019709,0.00146737951,,11.5115,0.004746,10.5457,0.003806,1.00503775501617,0.862318476256236,0.0,PERI,HM,TYC 5237-316-1,120.0,0.0,0.00010863961073129174,1.0
250355363,341.628763947408,-5.96412502729157,29.012,-8.47201,11.1495,STAR,tmgaia2,20190415,0.0800612,0.0614967,8.83536,0.0468024,12.093,0.069,10.199,0.026,9.688,0.026,9.537,0.026,4668.0,127.844,4.58814,0.0989878,nan,nan,0.725205,0.0546106,0.743,0.0902253,1.94808,0.568582,DWARF,0.224977612,0.009755395,112.817,0.6,0.0117557,0.322510242,,12.3703,0.013416,11.0835,0.009769,1.24337491998798,0.953766042033514,0.0,PERI,HM,2MASS J22463091-0557508,120.0,0.0,0.00013438447686159614,1.0
