Target_ID,tpeak,amp,ed_s,rise,fall,prob,name,tot_time_obs
7.0,1325.4613056615158,1.0075760422886064,5.151769534681455,0.0001,0.007039223063431003,0.999995231628418,DS Tuc,126.26805555555556
7.0,1325.461305775301,1.0106749925507268,7.479267759277402,0.0001,0.007233079541034321,0.9999999403953552,DS Tuc,126.26805555555556
7.0,1328.8988234451144,1.0023164357049743,1.6031235397413046,0.0001,0.008097288604495125,0.7526737451553345,DS Tuc,126.26805555555556
7.0,1329.036324030686,1.0042301219475105,4.2972983565525915,0.0001,0.01,0.9989538788795471,DS Tuc,126.26805555555556
7.0,1329.0432690884022,1.0031519228108197,1.9147396314517993,0.0001,0.0063009184876450545,0.928210437297821,DS Tuc,126.26805555555556
7.0,1331.0057753982574,1.0036167445274287,2.875056528049372,0.0001,0.008360897275890577,0.9889346361160278,DS Tuc,126.26805555555556
7.0,1331.005779389102,1.002372368381752,1.7204665219106814,0.0001,0.007457878204513361,0.9340682625770569,DS Tuc,126.26805555555556
7.0,1332.378000711762,1.0039546929946201,3.8308580274878805,0.0001,0.01,0.8485333919525146,DS Tuc,126.26805555555556
7.0,1332.3793959779366,1.0027555210615902,2.496739041725245,0.0001,0.01,0.6374075412750244,DS Tuc,126.26805555555556
7.0,1335.5599483891458,1.0036493681743948,1.3402576082157671,0.0001,0.003601895349010632,0.9177517890930176,DS Tuc,126.26805555555556
7.0,1343.2085155150937,1.002079622050723,1.1148298916714225,0.0001,0.005416456602879174,0.8859396576881409,DS Tuc,126.26805555555556
7.0,1343.2099044644117,1.002155283034695,0.9886058266997111,0.0001,0.004105957601556999,0.8540980219841003,DS Tuc,126.26805555555556
7.0,1345.648770660092,1.0035833188623489,2.7091076474798603,0.0001,0.0071180194210514166,0.9865061640739441,DS Tuc,126.26805555555556
9.0,1411.5582971586682,1.0042888423293563,3.2641762014232527,0.0001,0.009278094172131518,0.9319403171539307,TOI 451,70.38055555555556
9.0,1411.5583060990737,1.0068564715882928,2.759895155061261,0.0001,0.004125530373040926,0.999394416809082,TOI 451,70.38055555555556
9.0,1412.1374762059459,1.0262374198827868,18.913023275473826,0.0001,0.008237747174574154,1.0,TOI 451,70.38055555555556
9.0,1412.1374852407528,1.041552560487792,30.578966306254436,0.0001,0.008334371901146494,1.0,TOI 451,70.38055555555556
9.0,1429.5307182718764,1.0055734502925706,3.3997401698905922,0.0001,0.006770558531873975,0.9953373670578003,TOI 451,70.38055555555556
9.0,1429.530730112467,1.0073742797211294,3.9454755597284272,0.0001,0.00597699476300338,0.9992733001708984,TOI 451,70.38055555555556
9.0,1439.0557057158965,1.0047961087527084,4.572750128094036,0.0001,0.01,0.9979218244552612,TOI 451,70.38055555555556
9.0,1452.0388780267922,1.005431192789087,4.234092915482865,0.0001,0.008021312581596945,0.9604891538619995,TOI 451,70.38055555555556
1.0,1608.289638672523,1.0045244119551233,4.155666042704252,0.0001,0.009685213255750443,0.9470572471618652,HIP 67522,77.13194444444446
1.0,1616.7117670225032,1.0028886580524325,1.317006593777231,0.0001,0.005140559693748413,0.9175205230712891,HIP 67522,77.13194444444446
11.0,1713.9452886561537,1.0029422769522656,0.5056161681434792,0.0001,0.0011830038817634881,0.7867461442947388,TOI 1860,250.3847222222222
14.0,1918.0967941564084,1.0029680816097173,2.64089224439881,0.0001,0.01,0.8235282897949219,TOI 1807,75.17361111111111
11.0,1949.0816987239664,1.0030665262477898,0.636902011313856,0.0001,0.001693152664964935,0.849692165851593,TOI 1860,250.3847222222222
7.0,2040.494101754676,1.0027467743278262,0.9006630016919872,0.0001,0.002854654348937173,0.9090242981910706,DS Tuc,126.26805555555556
7.0,2041.046890284076,1.0024852721475552,0.6002043683239316,0.0001,0.001965431335986186,0.6122851371765137,DS Tuc,126.26805555555556
7.0,2045.4191895649503,1.0037144330731331,1.8950797263335064,0.0001,0.005016715238375493,0.9959420561790466,DS Tuc,126.26805555555556
7.0,2045.5053020647786,1.005395502232391,5.182810781203187,0.0001,0.01,0.999577522277832,DS Tuc,126.26805555555556
7.0,2051.119272417778,1.0035832829431652,1.834372173476639,0.0001,0.00533078804128643,0.8963807821273804,DS Tuc,126.26805555555556
7.0,2051.6623336970165,1.0038127520560152,2.212524504216655,0.0001,0.005751784490298512,0.9861198663711548,DS Tuc,126.26805555555556
7.0,2056.5137622573197,1.0022193892989126,0.46827262373110906,0.0001,0.0016201733498879235,0.8828614950180054,DS Tuc,126.26805555555556
7.0,2056.856819899208,1.023012608997507,11.442108206316345,0.0001,0.005036301310867651,1.0,DS Tuc,126.26805555555556
7.0,2058.501273192868,1.0040415751874214,2.076222733637997,0.0001,0.004891578992013524,0.9983484745025635,DS Tuc,126.26805555555556
7.0,2059.2859990650295,1.0063933759785488,5.5190143741877655,0.0001,0.00929207905434239,0.9999698996543884,DS Tuc,126.26805555555556
7.0,2062.4651799447124,1.0022404297506897,1.9748259412366809,0.0001,0.009256837334182044,0.7386488914489746,DS Tuc,126.26805555555556
7.0,2062.5582356334526,1.0020572862651813,1.9098692852268497,0.0001,0.01,0.6797515749931335,DS Tuc,126.26805555555556
7.0,2063.0846250090926,1.015648458189455,11.539535105860354,0.0001,0.007667902302996152,1.0,DS Tuc,126.26805555555556
7.0,2063.9901805682744,1.0160847773028954,15.693295928335266,0.0001,0.01,0.9765243530273438,DS Tuc,126.26805555555556
7.0,2065.7304560121843,1.0043705731421466,1.8432434185059607,0.0001,0.004229385667242056,0.9844421744346619,DS Tuc,126.26805555555556
