Target_ID,Prot,e_Prot,Good,EB?,flare_rate,age,Teff,Bp-Rp,mass,e_mass,Kmag,e_Kmag,Vmag,e_Vmag
428605112,8.15137673286951,0.499537363409196,0.0,,0.08281615164433742,79.0,3441.0,2.482899999999999,0.541014,0.0205822,11.629,0.023,16.3,0.2
428467925,4.53562639475189,0.697607538391177,0.0,,0.044180734420385885,79.0,3681.0,2.110199999999999,0.461178,0.0206261,11.751,0.028,15.901,0.092
431862833,19.8287475163157,1.16408658315866,0.0,,0.08688978455283425,79.0,5205.87,1.2126000000000001,0.885,0.117246,11.51,0.023,13.864,0.114
428444848,0.29399383185456,0.0012676018467754,0.0,,0.13334695615092712,79.0,3396.0,2.5671,0.614899,0.0205225,10.98,0.025,16.055,0.092
428209014,13.2187574174896,0.00988062273876654,0.0,,0.17530463548384978,79.0,3084.0,3.2147000000000006,0.434689,0.0206741,11.379,0.022,17.23,0.2
428070468,13.8826725105888,1.25960446393213,0.0,,0.07246950560156791,79.0,3579.0,2.253899999999998,0.567668,0.0206327,11.488,0.027,15.733,0.092
427739995,9.1517902091609,1.13948892468277,0.0,,0.041162448579649416,127.4,4655.45,1.5099,0.74,0.0856715,10.153,0.025,13.082,0.103
427736846,13.6368542906819,0.190851650624985,0.0,,0.016233400220954614,127.4,3121.0,3.1334,0.237392,0.0208121,13.061,0.028,nan,nan
427736345,4.32255880353177,0.922618167462707,0.0,,0.03145349893626033,127.4,3048.0,3.2958,0.211099,0.0210919,13.303,0.042,19.3,0.2
427736180,3.39017031809958,0.826164648745511,0.0,,0.06487239121730129,127.4,3177.0,3.011800000000001,0.202826,0.0208206,13.333,0.03,19.3,0.2
427736100,0.195865248869423,0.0122437160755286,0.0,,0.12958966648069495,127.4,3223.0,2.916499999999999,0.309269,0.0208657,12.462,0.023,18.1,0.2
427735935,3.4943783157132,0.869774567896047,0.0,,0.03243021800400284,127.4,2966.0,3.496500000000001,0.137848,0.0211879,14.317,0.062,nan,nan
